user_id,Physics_Chapters,Questions_Came_From_Physics,Marks_got_in_physics_chapters,Chemistry_Chapters,Questions_Came_From_Chemistry,Marks_got_in_chemistry_chapters,Mathematics_Chapters,Questions_came_from_mathematics,Marks_got_in_mathematics_chapters,productivity_yes_no,productivity_rate,emotional_factors
tcpzTzABpRhg1UdCLyYd9qyNEUm2,Gravitation,Calculate the gravitational force between Earth and a satellite...,2,Solid State,Derive the relationship between edge length and density for a cubic structure...,3,Complex Numbers,Solve (2 + 3i)(4 - 5i)...,3,Yes,6,Motivation needed
tcpzTzABpRhg1UdCLyYd9qyNEUm3,Optics,Determine the focal length of a convex lens with radii of curvature...,4,Organic Chemistry,Predict the major product of an aldol condensation reaction...,4,Trigonometry,Solve for ? in the equation sin²(?) + cos²(?) = 1...,2,,,
xuniMXYrIlQrIqzAgs9goewvQTo1,Electromagnetism,Calculate the magnetic field inside a solenoid...,4,Inorganic Chemistry,Identify the oxidation state of Cr in K2Cr2O7...,4,"Limits, Continuity, and Differentiability",Differentiate f(x) = e^x / x³...,4,No,5,Anxiety under pressure
xuniMXYrIlQrIqzAgs9goewvQTo2,Modern Physics,Calculate the energy of a photon with a wavelength of 500 nm...,3,Surface Chemistry,Derive Langmuir's adsorption isotherm...,3,Statistics,"Calculate the mean and variance of a dataset {2, 4, 6, 8, 10}...",3,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
